# ----------------------------------------
# Páginas e telas: Caminho da página e classe da tela
# Conta: CRP SP
# Propriedade: Site - GA4
# ----------------------------------------
# 
# Todos os usuários
# Data de início: 20241006
# Data de término: 20251006
Caminho da página e classe da tela,Visualizações,Usuários ativos,Visualizações por usuário ativo,Tempo médio de engajamento por usuário ativo,Contagem de eventos,Eventos principais,Receita total
/impresso/view/450,61,50,1.22,13.7,174,0,0
/impresso/view/94/o-tecido-e-o-tear,61,53,1.150943396226415,7.830188679245283,127,0,0
/impresso/view/551,60,43,1.3953488372093024,9.116279069767442,117,0,0
/impresso/view/552,60,44,1.3636363636363635,7.068181818181818,121,0,0
/impresso/view/564,60,48,1.25,10.291666666666666,128,0,0
/impresso/materia/54/numero-196-2,59,33,1.7878787878787878,95.75757575757575,177,0,0
/impresso/view/516,58,53,1.0943396226415094,8.433962264150944,115,0,0
/impresso/view/62/vol-20-psicologia-organizacional-e-do-trabalho,58,24,2.4166666666666665,11.666666666666666,130,0,0
/impresso/view/99,58,53,1.0943396226415094,7.283018867924528,118,0,0
/impresso/view/449,57,50,1.14,7.44,125,0,0
/impresso/view/424/atendimento-domiciliar-home-care-e-visita-domiciliar,56,38,1.4736842105263157,12.026315789473685,109,0,0
/impresso/view/538,56,44,1.2727272727272727,9.090909090909092,137,0,0
/impresso/view/463,55,48,1.1458333333333333,21.145833333333332,114,0,0
/impresso/view/454,54,53,1.0188679245283019,9.528301886792454,117,0,0
/impresso/view/418/recomendacoes-aos-servicos-escola-de-psicologia-do-estado-de-sao-paulo,51,40,1.275,18.575,101,0,0
/uploads/impresso/822/0zSdoIdv6MDPBUwE0CSAf4b64jKK6F,51,26,1.9615384615384615,8.653846153846153,119,0,0
/impresso/materia/15/manual-do-conselho-regional-de-psicologia-sp-2013,50,37,1.3513513513513513,113.1891891891892,164,0,0
/impresso/view/416,48,44,1.0909090909090908,13,97,0,0
/impresso/view/45,47,32,1.46875,13.4375,93,0,0
/impresso/view/50,45,32,1.40625,3.84375,117,0,0
/impresso/view/68,45,36,1.25,15.472222222222221,90,0,0
/impresso/materia/18/manual-de-orientacoes-2014,44,34,1.2941176470588236,50.88235294117647,123,0,0
/impresso/view/43,44,35,1.2571428571428571,18.257142857142856,93,0,0
/impresso/view/431/guarda-e-envio-de-documentos-por-computador,44,33,1.3333333333333333,9.303030303030303,87,0,0
/impresso/view/147/carta-de-servicos-sobre-estagios-e-servicos-escola,43,35,1.2285714285714286,13.17142857142857,107,0,0
/impresso/view/251,43,30,1.4333333333333333,31.233333333333334,124,0,0
/impresso/view/420/prevencao-do-suicidio-um-manual-para-profissionais-da-saude-em-atencao-primaria,43,40,1.075,9.575,92,0,0
/impresso/view/421,43,39,1.1025641025641026,13.128205128205128,96,0,0
/impresso/view/453,43,36,1.1944444444444444,10.833333333333334,84,0,0
/impresso/view/73,43,42,1.0238095238095237,9.404761904761905,87,0,0
/uploads/impresso/2704/qkzsi3xrRsHg5rKbqtp,43,31,1.3870967741935485,7.161290322580645,131,0,0
/impresso/view/511/quebra-de-sigilo-diante-da-violacao-de-direitos-2,42,29,1.4482758620689655,12.551724137931034,87,0,0
/impresso/view/521/avaliacao-psicologica-2,42,40,1.05,8.875,87,0,0
/impresso/view/544/referencias-tecnicas-para-atuacao-de-psicologasos-no-centro-de-atencao-psicossocial-caps,42,30,1.4,10.2,84,0,0
/impresso/view/63,42,36,1.1666666666666667,9.055555555555555,87,0,0
/impresso/view/69,42,37,1.135135135135135,22.43243243243243,85,0,0
/impresso/view/494/referencias-tecnicas-para-atuacao-de-psicologasos-em-politicas-publicas-de-alcool-e-outras-drogas,41,28,1.4642857142857142,11.357142857142858,93,0,0
/impresso/view/531,41,33,1.2424242424242424,8.848484848484848,83,0,0
/impresso/view/64,41,35,1.1714285714285715,17.857142857142858,88,0,0
/impresso/view/495/referencias-tecnicas-para-atuacao-de-psicologasos-na-educacao-basica-2,40,33,1.2121212121212122,24,77,0,0
/impresso/view/507/atendimento-clinico-para-criancas-e-adolescentes-com-pais-separados,40,31,1.2903225806451613,16.258064516129032,90,0,0
/impresso/materia/16/manual-do-conselho-regional-de-psicologia-sp-2013,39,27,1.4444444444444444,51.333333333333336,123,0,0
/impresso/view/232/manual-de-orientacoes-legislacao-e-recomendacoes-para-o-exercicio-profissional-do-psicologo,39,25,1.56,24.8,74,0,0
/impresso/view/495,39,30,1.3,7.2,95,0,0
/impresso/view/550,39,33,1.1818181818181819,14.666666666666666,78,0,0
/impresso/view/532/referencias-tecnicas-para-atuacao-de-psicologasos-no-crassuas,38,30,1.2666666666666666,10.866666666666667,84,0,0
/impresso/view/547,38,35,1.0857142857142856,10.028571428571428,91,0,0
/impresso/view/476,37,30,1.2333333333333334,9.266666666666667,75,0,0
/impresso/view/543,37,26,1.4230769230769231,21.423076923076923,77,0,0
/impresso/view/559,37,35,1.0571428571428572,13.457142857142857,73,0,0
/impresso/view/61,37,31,1.1935483870967742,46,70,0,0
/impresso/view/425/atendimento-psicologico-on-line,36,28,1.2857142857142858,11.071428571428571,73,0,0
/impresso/view/122/referencias-tecnicas-para-a-atuacao-de-psicologasos-em-politicas-publicas-de-alcool-e-outras-drogas,35,20,1.75,8.9,74,0,0
/impresso/view/124/referencias-tecnicas-para-atuacao-de-psicologasos-em-programas-de-atencao-a-mulher-em-situacao-de-violencia,35,29,1.206896551724138,3.896551724137931,70,0,0
/impresso/view/188/cartilha-atuacao-do-psicologo-no-sistema-prisional,35,29,1.206896551724138,27.103448275862068,103,0,0
/impresso/view/427/atuacao-profissional-em-qualquer-area-da-psicologia-exige-inscricao-ativa-no-crp,35,30,1.1666666666666667,11.466666666666667,69,0,0
/impresso/view/532,35,31,1.1290322580645162,10.67741935483871,69,0,0
/uploads/impresso/209/At7qY8R9qurINWFbmtpxDkeG0QqQzwO4.pdf),35,18,1.9444444444444444,5.444444444444445,85,0,0
/uploads/impresso/352780/www.crpsp.org/agendamento,35,21,1.6666666666666667,9.952380952380953,60,0,0
/impresso/view/444,34,31,1.096774193548387,15,81,0,0
/impresso/view/466,34,30,1.1333333333333333,8.666666666666666,70,0,0
/impresso/view/48,34,28,1.2142857142857142,9.714285714285714,65,0,0
/noticia/impresso/view/564,34,30,1.1333333333333333,2.933333333333333,62,0,0
/impresso/materia/28/psicopedagogia-e-neuropsicopedagogia,33,30,1.1,33.833333333333336,92,0,0
/impresso/view/483,33,18,1.8333333333333333,3.2222222222222223,69,0,0
/impresso/view/436/publicidade-profissional,32,26,1.2307692307692308,4.1923076923076925,64,0,0
/impresso/view/490/referencias-tecnicas-para-atuacao-de-psicologasos-na-atencao-basica-a-saude,32,23,1.391304347826087,6.565217391304348,68,0,0
/impresso/view/535/guia-pratico-sobre-acessibilidade-para-profissionais-de-psicologia,32,29,1.103448275862069,17.344827586206897,76,0,0
/impresso/view/537,32,26,1.2307692307692308,10.384615384615385,77,0,0
/impresso/view/196,31,25,1.24,10.76,95,0,0
/impresso/view/376,31,19,1.631578947368421,24.05263157894737,54,0,0
/impresso/view/515/producao-de-documentos-escritos-2,31,31,1,20.096774193548388,65,0,0
/impresso/view/488,30,27,1.1111111111111112,16.962962962962962,62,0,0
/impresso/materia/20/manual-de-orientacoes-2014,29,28,1.0357142857142858,41.035714285714285,63,0,0
/impresso/view/406,29,25,1.16,15,59,0,0
/impresso/view/459,29,28,1.0357142857142858,15.214285714285714,62,0,0
/impresso/view/49,29,24,1.2083333333333333,6.375,58,0,0
/impresso/view/54,29,23,1.2608695652173914,9.956521739130435,61,0,0
/impresso/view/560,29,22,1.3181818181818181,22.318181818181817,64,0,0
/impresso/view/131,28,24,1.1666666666666667,22.75,54,0,0
/impresso/view/150,28,19,1.4736842105263157,19.31578947368421,89,0,0
/impresso/view/404,28,25,1.12,46.24,57,0,0
/impresso/materia/13/manual-do-conselho-regional-de-psicologia-sp-2013,27,23,1.173913043478261,61.95652173913044,95,0,0
/impresso/materia/21/manual-de-orientacoes-2014,27,25,1.08,13.56,53,0,0
/impresso/view/129/servico-de-protecao-social-a-criancas-e-adolescentes-vitimas-de-violencia-abuso-e-exploracao-sexual-e-suas-familias-referencias-para-a-atuacao-do-psicologo,27,18,1.5,6.888888888888889,52,0,0
